,name,gender_add,year,category,publication
189,Adam Zyglis,male,2015,Editorial-Cartooning,The Buffalo News
190,Alan Diaz,male,2001,Breaking-News-Photography,Associated Press
191,Alan M. Kriegsman,male,1976,Criticism,The Washington Post
192,Alan Miller,male,2003,National-Reporting,Los Angeles Times
193,Albert L. Delugach,male,1969,Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat
194,Albert Scardino,male,1984,Editorial-Writing,Georgia Gazette
195,Albert V. Gaudiosi,male,1964,Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin
196,Alex Raksin,male,2002,Editorial-Writing,Los Angeles Times
197,Alex S. Jones,male,1987,Specialized-Reporting,The New York Times
198,Alex Tizon,male,1997,Investigative-Reporting,The Seattle Times
199,Alexander B. Hawes Jr.,male,1980,Local-Investigative-Specialized-Reporting,The Boston Globe
200,Alexander Zemlianichenko,male,1997,Feature-Photography,Associated Press
201,Alfred Friendly,male,1968,International-Reporting,The Washington Post
202,Allan Temko,male,1990,Criticism,San Francisco Chronicle
203,Alvin H. Goldstein,male,1925,Reporting,Chicago Daily News
204,Alvin Scott McCoy,male,1954,Local-Reporting;-No-Edition-Time,Kansas City (MO) Star
205,Andrew Lopez,male,1960,Photography,United Press Internationalcategory
206,Andrew R.C. Marshall,male,2014,International-Reporting,Reuters
207,Andrew Schneider,male,1986,Specialized-Reporting,The Pittsburgh Press
208,Angelo B. Henderson,male,1999,Feature-Writing,The Wall Street Journal
209,Anthony K. Roberts,male,1974,Spot-News-Photography,freelance photographer
210,Anthony Leviero,male,1952,National-Reporting,The New York Times
211,Anthony Lewis,male,1963,National-Reporting,The New York Times
212,Anthony R. Dolan,male,1978,Local-Investigative-Specialized-Reporting,The Stamford (CT) Advocate
213,Anthony Shadid,male,2004,International-Reporting,The Washington Post
214,Anthony Shannon,male,1963,Local-Reporting;-Edition-Time,New York World-Telegram
215,Anthony Suau,male,1984,Feature-Photography,The Denver Post
216,Arnaldo Cortesi,male,1946,Correspondence,The New York Times
217,Arnold Hardy,male,1947,Photography,Associated Press
218,Art Buchwald,male,1982,Commentary,Los Angeles Times
219,Arthur Browne,male,2007,Editorial-Writing,New York Daily News
220,Arthur Daley,male,1956,Local-Reporting;-No-Edition-Time,The New York Times
221,Arthur Howe,male,1986,National-Reporting,The Philadelphia Inquirer
222,Arthur Krock,male,1935,Correspondence,The New York Times
223,Arthur M. Petacque,male,1974,Local-General-or-Spot-News-Reporting,Chicago Sun-Times
224,Austin Wehrwein,male,1953,International-Reporting,The Milwaukee Journal
225,Barry Bearak,male,2002,International-Reporting,The New York Times
226,Barry Siegel,male,2002,Feature-Writing,Los Angeles Times
227,Bart Howard,male,1940,Editorial-Writing,St. Louis Post-Dispatch
228,Barton Gellman,male,2008,National-Reporting,The Washington Post
229,Ben Sargent,male,1982,Editorial-Cartooning,Austin (TX) American-Statesman
230,Berke Breathed,male,1987,Editorial-Cartooning,The Washington Post
