name,gender,gender_add,year,category,publication,publication2,organizational,first_name,mutiple org,note
Westbrook Pegler,andy,male,1941,Reporting,New York World-Telegram,,no,Westbrook,,
Adam Goldman,male,male,2012,Investigative-Reporting,Associated Press,,no,Adam,,
Adam Zyglis,male,male,2015,Editorial-Cartooning,The Buffalo News,,no,Adam,,
Alan Diaz,male,male,2001,Breaking-News-Photography,Associated Press,,no,Alan,,
Alan M. Kriegsman,male,male,1976,Criticism,The Washington Post,,no,Alan,,
Alan Miller,male,male,2003,National-Reporting,Los Angeles Times,,no,Alan,,
Albert L. Delugach,male,male,1969,Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat,,no,Albert,,
Albert Scardino,male,male,1984,Editorial-Writing,Georgia Gazette,,no,Albert,,
Albert V. Gaudiosi,male,male,1964,Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,,no,Albert,,
Alex Raksin,male,male,2002,Editorial-Writing,Los Angeles Times,,no,Alex,,
Alex S. Jones,male,male,1987,Specialized-Reporting,The New York Times,,no,Alex,,
Alex Tizon,male,male,1997,Investigative-Reporting,The Seattle Times,,no,Alex,,
Alexander B. Hawes Jr.,male,male,1980,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,Alexander,,
Alexander Zemlianichenko,male,male,1997,Feature-Photography,Associated Press,,no,Alexander,,
Alfred Friendly,male,male,1968,International-Reporting,The Washington Post,,no,Alfred,,
Allan Temko,male,male,1990,Criticism,San Francisco Chronicle,,no,Allan,,
Alvin H. Goldstein,male,male,1925,Reporting,Chicago Daily News,,no,Alvin,,
Alvin Scott McCoy,male,male,1954,Local-Reporting;-No-Edition-Time,Kansas City (MO) Star,,no,Alvin,,
Andrew Lopez,male,male,1960,Photography,United Press Internationalcategory,,no,Andrew,,
Andrew R.C. Marshall,male,male,2014,International-Reporting,Reuters,,no,Andrew,,
Andrew Schneider,male,male,1986,Specialized-Reporting,The Pittsburgh Press,,no,Andrew,,
Angelo B. Henderson,male,male,1999,Feature-Writing,The Wall Street Journal,,no,Angelo,,
Anthony K. Roberts,male,male,1974,Spot-News-Photography,freelance photographer,,no,Anthony,,
Anthony Leviero,male,male,1952,National-Reporting,The New York Times,,no,Anthony,,
Anthony Lewis,male,male,1963,National-Reporting,The New York Times,,no,Anthony,,
Anthony R. Dolan,male,male,1978,Local-Investigative-Specialized-Reporting,The Stamford (CT) Advocate,,no,Anthony,,
Anthony Shadid,male,male,2004,International-Reporting,The Washington Post,,no,Anthony,,
Anthony Shannon,male,male,1963,Local-Reporting;-Edition-Time,New York World-Telegram,,no,Anthony,,
Anthony Suau,male,male,1984,Feature-Photography,The Denver Post,,no,Anthony,,
Arnaldo Cortesi,male,male,1946,Correspondence,The New York Times,,no,Arnaldo,,
Arnold Hardy,male,male,1947,Photography,Associated Press,,no,Arnold,,
Art Buchwald,male,male,1982,Commentary,Los Angeles Times,,no,Art,,
Arthur Browne,male,male,2007,Editorial-Writing,New York Daily News,,no,Arthur,,
Arthur Daley,male,male,1956,Local-Reporting;-No-Edition-Time,The New York Times,,no,Arthur,,
Arthur Howe,male,male,1986,National-Reporting,The Philadelphia Inquirer,,no,Arthur,,
Arthur Krock,male,male,1935,Correspondence,The New York Times,,no,Arthur,,
Arthur M. Petacque,male,male,1974,Local-General-or-Spot-News-Reporting,Chicago Sun-Times,,no,Arthur,,
Austin Wehrwein,male,male,1953,International-Reporting,The Milwaukee Journal,,no,Austin,,
Barry Bearak,male,male,2002,International-Reporting,The New York Times,,no,Barry,,
Barry Siegel,male,male,2002,Feature-Writing,Los Angeles Times,,no,Barry,,
Bart Howard,male,male,1940,Editorial-Writing,St. Louis Post-Dispatch,,no,Bart,,
Barton Gellman,male,male,2008,National-Reporting,The Washington Post,,no,Barton,,
Ben Sargent,male,male,1982,Editorial-Cartooning,Austin (TX) American-Statesman,,no,Ben,,
Berke Breathed,male,male,1987,Editorial-Cartooning,The Washington Post,,no,Berke,,
Bernard L. Stein,male,male,1998,Editorial-Writing,The Riverdale (NY) Press,,no,Bernard,,
Bert Andrews,male,male,1948,National-Reporting,New York Herald Tribune,,no,Bert,,
Bill Crouch,male,male,1950,Photography,Oakland (CA) Tribune,,no,Bill,,
Bill Dedman,male,male,1989,Investigative-Reporting,The Atlanta Journal-Constitution,,no,Bill,,
Bill Dietrich,male,male,1990,National-Reporting,The Seattle Times,,no,Bill,,
Bill Foley,male,male,1983,Spot-News-Photography,Associated Press,,no,Bill,,
Bill Keller,male,male,1989,International-Reporting,The New York Times,,no,Bill,,
Bob Keeler,male,male,1996,Beat-Reporting,Newsday,,no,Bob,,
Bob Sipchen,male,male,2002,Editorial-Writing,Los Angeles Times,,no,Bob,,
Brad Schrade,male,male,2013,Local-Reporting,Star Tribune,,no,Brad,,
Bret Stephens,male,male,2013,Commentary,The Wall Street Journal,,no,Bret,,
Brett Blackledge,male,male,2007,Investigative-Reporting,The Birmingham (AL) News,,no,Brett,,
Brian Donovan,male,male,1995,Investigative-Reporting,Newsday,,no,Brian,,
Brian Lanker,male,male,1973,Feature-Photography,Topeka Capital-Journal,,no,Brian,,
Brooks Atkinson,male,male,1947,Correspondence,The New York Times,,no,Brooks,,
Bruce Alexander Russell,male,male,1946,Editorial-Cartooning,Los Angeles Times,,no,Bruce,,
Bruce M. Shanks,male,male,1958,Editorial-Cartooning,Buffalo (NY) Evening News,,no,Bruce,,
Buford Boone,male,male,1957,Editorial-Writing,Tuscaloosa (AL) News,,no,Buford,,
Byron Acohido,male,male,1997,Beat-Reporting,The Seattle Times,,no,Byron,,
Carl M. Saunders,male,male,1950,Editorial-Writing,Jackson (MI) Citizen Patriot,,no,Carl,,
Carlos P. Romulo,male,male,1942,Correspondence,Philippines Herald,,no,Carlos,,
Charles G. Ross,male,male,1932,Correspondence,St. Louis Post-Dispatch,,no,Charles,,
Charles G. Werner,male,male,1939,Editorial-Cartooning,Daily Oklahoman,,no,Charles,,
Charles J. Hanley,male,male,2000,Investigative-Reporting,Associated Press,,no,Charles,,
Charles Krauthammer,male,male,1987,Commentary,The Washington Post,,no,Charles,,
Charles L. Bartlett,male,male,1956,National-Reporting,Chattanooga Times,,no,Charles,,
Charles Porter IV,male,male,1996,Spot-News-Photography,freelance photographer,,no,Charles,,
Charles R. Macauley,male,male,1930,Editorial-Cartooning,Brooklyn Daily Eagle,,no,Charles,,
Charles S. Ryckman,male,male,1931,Editorial-Writing,Fremont (NE) Tribune,,no,Charles,,
Charles Stafford,male,male,1980,National-Reporting,St. Petersburg (FL) Times,,no,Charles,,
Charlie Savage,male,male,2007,National-Reporting,The Boston Globe,,no,Charlie,,
Chris Hamby,male,male,2014,Investigative-Reporting,The Center for Public Integrity,,no,Chris,,
Chris Hawley,male,male,2012,Investigative-Reporting,Associated Press,,no,Chris,,
Chris Ison,male,male,1990,Investigative-Reporting,Star Tribune,,no,Chris,,
Chuck Philips,male,male,1999,Beat-Reporting,Los Angeles Times,,no,Chuck,,
Clarence Page,male,male,1989,Commentary,Chicago Tribune,,no,Clarence,,
Clarence Williams,male,male,1998,Feature-Photography,Los Angeles Times,,no,Clarence,,
Clark Hallas,male,male,1981,Local-Investigative-Specialized-Reporting,The Arizona Daily Star,,no,Clark,,
Clark Hoyt,male,male,1973,National-Reporting,Knight Newspapers,,no,Clark,,
Clark Mollenhoff,male,male,1958,National-Reporting,Des Moines Register,,no,Clark,,
Claude Sitton,male,male,1983,Commentary,Raleigh (NC) News & Observer,,no,Claude,,
Clay Bennett,male,male,2002,Editorial-Cartooning,The Christian Science Monitor,,no,Clay,,
Clifford J. Levy,male,male,2003,Investigative-Reporting,The New York Times,,no,Clifford,,
Clifford K. Berryman,male,male,1944,Editorial-Cartooning,The Evening Star,,no,Clifford,,
Colbert I. King,male,male,2003,Commentary,The Washington Post,,no,Colbert,,
Craig F. Walker,male,male,2010,Feature-Photography,The Denver Post,,no,Craig,,
Craig Flournoy,male,male,1986,National-Reporting,The Dallas Morning News,,no,Craig,,
Dallas Kinney,male,male,1970,Feature-Photography,Palm Beach Post,,no,Dallas,,
Dallas Morning News Team,male,male,1994,International-Reporting,The Dallas Morning News,,no,Dallas,,
Damon Winter,male,male,2009,Feature-Photography,The New York Times,,no,Damon,,
Dan Malone,male,male,1992,Investigative-Reporting,The Dallas Morning News,,no,Dan,,
Dan Neil,male,male,2004,Criticism,Los Angeles Times,,no,Dan,,
Daniel Berehulak,male,male,2015,Feature-Photography,freelance photographer,The New York Times,no,Daniel,,
Daniel De Luce,male,male,1944,Telegraphic-Reporting-(International),Associated Press,,no,Daniel,,
Daniel Golden,male,male,2004,Beat-Reporting,The Wall Street Journal,,no,Daniel,,
Daniel Hertzberg,male,male,1988,Explanatory-Journalism,The Wall Street Journal,,no,Daniel,,
Daniel R. Biddle,male,male,1987,Investigative-Reporting,The Philadelphia Inquirer,,no,Daniel,,
Daniel R. Fitzpatrick,male,male,1955,Editorial-Cartooning,St. Louis Post-Dispatch,,no,Daniel,,
Daniel Ruth,male,male,2013,Editorial-Writing,Tampa Bay Times,,no,Daniel,,
Dave Anderson,male,male,1981,Commentary,The New York Times,,no,Dave,,
Dave Barry,male,male,1988,Commentary,The Miami Herald,,no,Dave,,
Dave Curtin,male,male,1990,Feature-Writing,Colorado Springs Gazette Telegraph,,no,Dave,,
Dave Kennerly,male,male,1972,Feature-Photography,United Press Internationalcategory,,no,Dave,,
David A. Vise,male,male,1990,Explanatory-Journalism,The Washington Post,,no,David,,
David Barboza,male,male,2013,International-Reporting,The New York Times,,no,David,,
David Barstow,male,male,2004,Public-Service,The New York Times,,no,David,,
David C. Turnley,male,male,1990,Feature-Photography,Detroit Free Press,,no,David,,
David Cay Johnston,male,male,2001,Beat-Reporting,The New York Times,,no,David,,
