category,publication,publication2,name,year,organizational,first_name,gender,mutiple org,note
Telegraphic-Reporting-(National),No Award,,No Award,1943,none,,,,
Photography,The Akron (OH) Beacon Journal,Associated Press,Walter M. Schau,1954,no,Walter,male,y,
National-Reporting,Des Moines Register,Minneapolis Tribune,Nathan K. (Nick) Kotz,1968,no,Nathan,male,y,
International-Reporting,Associated Press,The New York Times,Malcolm W. Browne,1964,no,Malcolm,male,y,
International-Reporting,Associated Press,The New York Times,David Halberstam,1964,no,David,male,y,
Editorial-Cartooning,The Washington Post,Times-Herald,Herbert L. Block (Herblock),1954,no,Herbert,male,y,
International-Reporting,Associated Press,,Don Whitehead,1951,no,Don,male,,note
International-Reporting,Chicago Daily News,,Keyes Beech,1951,no,Keyes,male,,note
International-Reporting,New York Herald Tribune,,Homer Bigart,1951,no,Homer,male,,note
International-Reporting,New York Herald Tribune,,Marguerite Higgins,1951,no,Marguerite,female,,note
International-Reporting,AP,,Relman Morin,1951,no,Relman,male,,note
International-Reporting,Chicago Daily News,,Fred Sparks,1951,no,Fred,male,,note
Reporting,The New York Times,,William L. Laurence,1937,no,William,male,,note
Reporting,New York Herald Tribune,,John J. O'Neill,1937,no,John,male,,note
Reporting,AP,,Howard W. Blakeslee,1937,no,Howard,male,,note
Reporting,Universal Service,,Gobind Behari Lal,1937,no,Gobind,male,,note
Reporting,Scripps-Howard,,David Dietz,1937,no,David,male,,note
Investigative-Reporting,Willamette Week,,Nigel Jaquiss,2005,no,Nigel,male,,
National-Reporting,Washington Star-News,,James R. Polk,1974,no,James,male,,
Editorial-Writing,Washington Post and Scripps-Howard Newspapers,,George B. Parker,1936,no,George,male,,
Editorial-Writing,Washington Post and Scripps-Howard Newspapers,,Felix Morley,1936,no,Felix,male,,
National-Reporting,Washington Evening Star,,Haynes Johnson,1966,no,Haynes,andy,,
Editorial-Cartooning,Washington Daily News,,H. M. Talburt,1933,no,H.,andy,,
National-Reporting,Washington Daily News,,Anthony Lewis,1955,no,Anthony,male,,
Photography,Washington (DC) Daily News,,William C. Beall,1958,no,William,male,,
General-News-Reporting,Virginian-Pilot and Ledger-Star,,Thomas Turcol,1985,no,Thomas,male,,
Spot-News-Photography,Valley Daily News and Daily Dispatch,,John Paul Filo,1971,no,John,male,,
Editorial-Cartooning,Universal Press Syndicate,,Garry Trudeau,1975,no,Garry,male,,
Feature-Photography,United Press Internationalcategory,,Toshio Sakai,1968,no,Toshio,male,,
National-Reporting,United Press Internationalcategory,,Thomas Powers,1971,no,Thomas,male,,
National-Reporting,United Press Internationalcategory,,Merriman Smith,1964,no,Merriman,andy,,
National-Reporting,United Press Internationalcategory,,Lucinda Franks,1971,no,Lucinda,female,,
Photography,United Press Internationalcategory,,Kyoichi Sawada,1966,no,Kyoichi,male,,
Spot-News-Photography,United Press Internationalcategory,,John H. Blair,1978,no,John,male,,
Feature-Photography,United Press Internationalcategory,,Dave Kennerly,1972,no,Dave,male,,
Photography,United Press Internationalcategory,,Andrew Lopez,1960,no,Andrew,male,,
International-Reporting,United Press,,Russell Jones,1957,no,Russell,male,,
Editorial-Cartooning,"United Feature Syndicate, Inc.",,Sergeant Bill Mauldin,1945,no,Sergeant,andy,,
Editorial-Writing,Tuscaloosa (AL) News,,Buford Boone,1957,no,Buford,male,,
Editorial-Cartooning,Tribune Media Services,,Ann Telnaes,2001,no,Ann,female,,
Feature-Photography,Topeka Capital-Journal,,Brian Lanker,1973,no,Brian,male,,
Editorial-Cartooning,The Times-Picayune,,Walt Handelsman,1997,no,Walt,male,,
Photography,The World-Herald,,Earle L. Bunker,1944,no,Earle,male,,
Commentary,The Washington Star,,Mary McGrory,1975,no,Mary,mostly_female,,
Criticism,The Washington Star,,Jonathan Yardley,1981,no,Jonathan,male,,
Editorial-Writing,The Washington Star,,Edwin M. Yoder Jr.,1979,no,Edwin,male,,
Commentary,The Washington Post,,George F. Will,1977,no,George,male,,
Commentary,The Washington Post,,Charles Krauthammer,1987,no,Charles,male,,
Editorial-Cartooning,The Washington Post,,Berke Breathed,1987,no,Berke,male,,
Commentary,The Washington Post,,William Raspberry,1994,no,William,male,,
Criticism,The Washington Post,,William McPherson,1977,no,William,male,,
Criticism,The Washington Post,,Tom Shales,1988,no,Tom,male,,
Criticism,The Washington Post,,Tim Page,1997,no,Tim,male,,
Investigative-Reporting,The Washington Post,,Susan Schmidt,2006,no,Susan,female,,
Commentary,The Washington Post,,Steven Pearlstein,2008,no,Steven,male,,
International-Reporting,The Washington Post,,Steve Fainaru,2008,no,Steve,male,,
Explanatory-Journalism,The Washington Post,,Steve Coll,1990,no,Steve,male,,
Criticism,The Washington Post,,Stephen Hunter,2003,no,Stephen,male,,
Investigative-Reporting,The Washington Post,,Scott Higham,2002,no,Scott,male,,
Investigative-Reporting,The Washington Post,,Sari Horwitz,2002,no,Sari,female,,
Criticism,The Washington Post,,Sarah Kaufman,2010,no,Sarah,female,,
Investigative-Reporting,The Washington Post,,Sarah Cohen,2002,no,Sarah,female,,
Criticism,The Washington Post,,Robin Givhan,2006,no,Robin,mostly_male,,
Breaking-News-Photography,The Washington Post,,Ricky Carioti,2011,no,Ricky,male,,
Investigative-Reporting,The Washington Post,,R. Jeffrey Smith,2006,no,R.,andy,,
Editorial-Writing,The Washington Post,,Philip L. Geyelin,1970,no,Philip,male,,
Criticism,The Washington Post,,Philip Kennicott,2013,no,Philip,male,,
Breaking-News-Photography,The Washington Post,,Nikki Kahn,2011,no,Nikki,female,,
Feature-Photography,The Washington Post,,Michael Williamson,2000,no,Michael,male,,
Criticism,The Washington Post,,Michael Dirda,1993,no,Michael,male,,
Editorial-Writing,The Washington Post,,Meg Greenfield,1978,no,Meg,female,,
Feature-Photography,The Washington Post,,Matthew Lewis,1975,no,Matthew,male,,
