category,publication,publication2,name,year,organizational,first_name,gender,mutiple org,note
Criticism,Chicago Sun-Times,,Ronald Powers,1973,no,Ronald,male,,
Criticism,Chicago Sun-Times,,Roger Ebert,1975,no,Roger,male,,
Local-Reporting,Chicago Sun-Times,,Mark Konkol,2011,no,Mark,male,,
Local-Reporting,Chicago Sun-Times,,John J. Kim,2011,no,John,male,,
Feature-Photography,Chicago Sun-Times,,John H. White,1982,no,John,male,,
Editorial-Cartooning,Chicago Sun-Times,,Jack Higgins,1989,no,Jack,male,,
Feature-Photography,Chicago Sun-Times,,Jack Dykinga,1971,no,Jack,male,,
Local-General-or-Spot-News-Reporting,Chicago Sun-Times,,Hugh F. Hough,1974,no,Hugh,male,,
Local-Reporting,Chicago Sun-Times,,Frank Main,2011,no,Frank,male,,
Local-General-or-Spot-News-Reporting,Chicago Sun-Times,,Arthur M. Petacque,1974,no,Arthur,male,,
National-Reporting,Chicago Daily News,,William J. Eaton,1970,no,William,male,,
Editorial-Cartooning,Chicago Daily News,,Vaughn Shoemaker,1947,no,Vaughn,male,,
Editorial-Cartooning,Chicago Daily News,,Vaughn Shoemaker,1938,no,Vaughn,male,,
Correspondence,Chicago Daily News,,Paul Scott Mowrer,1929,no,Paul,male,,
Commentary,Chicago Daily News,,Mike Royko,1972,no,Mike,male,,
Editorial-Cartooning,Chicago Daily News,,John Fischetti,1969,no,John,male,,
Reporting,Chicago Daily News,,James W. Mulroy,1925,no,James,male,,
Reporting,Chicago Daily News,,George Weller,1943,no,George,male,,
Correspondence,Chicago Daily News,,Edgar Ansel Mowrer,1933,no,Edgar,male,,
Reporting,Chicago Daily News,,Alvin H. Goldstein,1925,no,Alvin,male,,
National-Reporting,Chattanooga Times,,Charles L. Bartlett,1956,no,Charles,male,,
Feature-Photography,Chattanooga News-Free Press,,Robin Hood,1977,no,Robin,mostly_male,,
Editorial-Writing,Charleston (WV) Daily Mail,,John Daniell Maurice,1975,no,John,male,,
Local-General-or-Spot-News-Reporting,Chambersburg (Pennsylvania) Public Opinion,,Robert V. Cox,1967,no,Robert,male,,
Local-Reporting;-No-Edition-Time,Buffalo (NY) Evening News,,Edgar May,1961,no,Edgar,male,,
Editorial-Cartooning,Buffalo (NY) Evening News,,Bruce M. Shanks,1958,no,Bruce,male,,
Editorial-Cartooning,Brooklyn Daily Eagle,,Nelson Harding,1928,no,Nelson,male,,
Editorial-Cartooning,Brooklyn Daily Eagle,,Nelson Harding,1927,no,Nelson,male,,
Editorial-Cartooning,Brooklyn Daily Eagle,,Charles R. Macauley,1930,no,Charles,male,,
Photography,Boston Traveler,,Harry A. Trask,1957,no,Harry,male,,
Photography,Boston Traveler,,Frank Cushing,1948,no,Frank,male,,
Spot-News-Photography,Boston Herald American,,Stanley Forman,1977,no,Stanley,male,,
Spot-News-Photography,Boston Herald American,,Stanley Forman,1976,no,Stanley,male,,
Editorial-Writing,Boston Herald,,F. Lauriston Bullard,1927,no,F.,andy,,
Editorial-Writing,Boston Herald,,Don Murray,1954,no,Don,male,,
Explanatory-Reporting,Bloomberg News,,Zachary R. Mider,2015,no,Zachary,male,,
Feature-Photography,Block Newspapers,,John Kaplan,1992,no,John,male,,
Editorial-Writing,Bethlehem (PA) Globe-Times,,John Strohmeyer,1972,no,John,male,,
Editorial-Writing,Berkshire Eagle,,Roger B. Linscott,1973,no,Roger,male,,
Feature-Writing,Baltimore Evening Suncategory,,Jon D. Franklin,1979,no,Jon,male,,
Editorial-Cartooning,Austin (TX) American-Statesman,,Ben Sargent,1982,no,Ben,male,,
Editorial-Writing,Atlantic (IA) News-Telegraph,,E. P. Chase,1934,no,E.,andy,,
National-Reporting,Associated Press,,Walter Mears,1977,no,Walter,male,,
Spot-News-Photography,Associated Press,,Steve Starr,1970,no,Steve,male,,
Feature-Photography,Associated Press,,Slava Veder,1974,no,Slava,mostly_male,,
Feature-Writing,Associated Press,,Saul Pett,1982,no,Saul,male,,
Investigative-Reporting,Associated Press,,Sang-Hun Choe,2000,no,Sang-Hun,male,,
Spot-News-Photography,Associated Press,,Ron Edmonds,1982,no,Ron,male,,
Breaking-News-Photography,Associated Press,,Rodrigo Abd,2013,no,Rodrigo,male,,
National-Reporting,Associated Press,,Relman Morin,1958,no,Relman,andy,,
International-Reporting,Associated Press,,Peter Arnett,1966,no,Peter,male,,
Photography,Associated Press,,Paul Vathis,1962,no,Paul,male,,
Breaking-News-Photography,Associated Press,,Oded Balilty,2007,no,Oded,male,,
Spot-News-Photography,Associated Press,,Neal Ulevich,1977,no,Neal,male,,
Breaking-News-Photography,Associated Press,,Narciso Contreras,2013,no,Narciso,male,,
Breaking-News-Photography,Associated Press,,Muhammed Muheisen,2013,no,Muhammed,male,,
Spot-News-Photography,Associated Press,,Michel Laurent,1972,no,Michel,male,,
Photography,Associated Press,,Max Desfor,1951,no,Max,male,,
Investigative-Reporting,Associated Press,,Martha Mendoza,2000,no,Martha,female,,
International-Reporting,Associated Press,,Mark Fritz,1995,no,Mark,male,,
Breaking-News-Photography,Associated Press,,Manu Brabo,2013,no,Manu,male,,
International-Reporting,Associated Press,,Lynn Heinzerling,1961,no,Lynn,mostly_female,,
Correspondence,Associated Press,,Louis P. Lochner,1939,no,Louis,male,,
Telegraphic-Reporting-(International),Associated Press,,Laurence Edmund Allen,1942,no,Laurence,female,,
Reporting,Associated Press,,Kirke L. Simpson,1922,no,Kirke,andy,,
Breaking-News-Photography,Associated Press,,Khalil Hamra,2013,no,Khalil,male,,
International-Reporting,Associated Press,,John M. Hightower,1952,no,John,male,,
Photography,Associated Press,,Joe Rosenthal,1945,no,Joe,male,,
Photography,Associated Press,,Jack R. Thornell,1967,no,Jack,male,,
Feature-Photography,Associated Press,,J. Ross Baughman,1978,no,J.,andy,,
Spot-News-Photography,Associated Press,,Huynh Cong Ut,1973,no,Huynh,andy,,
Photography,Associated Press,,Horst Faas,1965,no,Horst,male,,
Spot-News-Photography,Associated Press,,Horst Faas,1972,no,Horst,male,,
Correspondence,Associated Press,,Harold V. (Hal) Boyl,1945,no,Harold,male,,
Spot-News-Photography,Associated Press,,Greg Marinovich,1991,no,Greg,male,,
Photography,Associated Press,,Frank Noel,1943,no,Frank,male,,
Photography,Associated Press,,Frank Filan,1944,no,Frank,male,,
Reporting,Associated Press,,Francis A. Jamieson,1933,no,Francis,male,,
Spot-News-Photography,Associated Press,,Edward T. Adams,1969,no,Edward,male,,
Telegraphic-Reporting-(International),Associated Press,,Eddy Gilmore,1947,no,Eddy,male,,
National-Reporting,Associated Press,,Don Whitehead,1953,no,Don,male,,
Telegraphic-Reporting-(International),Associated Press,,Daniel De Luce,1944,no,Daniel,male,,
Investigative-Reporting,Associated Press,,Charles J. Hanley,2000,no,Charles,male,,
Spot-News-Photography,Associated Press,,Bill Foley,1983,no,Bill,male,,
Photography,Associated Press,,Arnold Hardy,1947,no,Arnold,male,,
Feature-Photography,Associated Press,,Alexander Zemlianichenko,1997,no,Alexander,male,,
Breaking-News-Photography,Associated Press,,Alan Diaz,2001,no,Alan,male,,
Editorial-Cartooning,Asbury Park Press,,Stephen P. Breen,1998,no,Stephen,male,,
Editorial-Writing,Arkansas Gazette,,Harry S. Ashmore,1958,no,Harry,male,,
Editorial-Cartooning,The Arizona Republic,,Reg (Reginald W.) Manning,1951,no,Reg,male,,
Newspaper-History-Award,American Press,,Minna Lewinson,1918,no,Minna,female,,
Newspaper-History-Award,American Press,,Henry Beetle Hough,1918,no,Henry,male,,
Local-Reporting;-Edition-Time,Alice (TX) Daily Echo,,Caro Brown,1955,no,Caro,female,,
National-Reporting,Albuquerque Tribune,,Eileen Welsome,1994,no,Eileen,female,,
Specialized-Reporting,Albuquerque Journal,,Tamar Stieber,1990,no,Tamar,female,,
Breaking-News-Photography,Agence France-Presse,,Massoud Hossaini,2012,no,Massoud,male,,
National-Reporting,a syndicated columnist,,Jack Anderson,1972,no,Jack,male,,
Feature-Photography,freelance photographer,,Stephanie Welsh,1996,no,Stephanie,female,,
Feature-Photography,freelance photographer,,Kevin Carter,1994,no,Kevin,male,,
