category,publication,name,year
Editorial-Cartooning,St. Louis Post-Dispatch,Daniel R. Fitzpatrick,1955
Editorial-Cartooning,The Washington Post & Times-Herald,Herbert L. Block (Herblock),1954
Editorial-Cartooning,Cleveland Plain Dealer,Edward D. Kuekes,1953
Editorial-Cartooning,New York Mirror,Fred L. Packer,1952
Editorial-Cartooning,Arizona Republic,Reg (Reginald W.) Manning,1951
Editorial-Cartooning,The Evening Star,James T. Berryman,1950
Editorial-Cartooning,Newark Evening News,Lute Pease,1949
Editorial-Cartooning,New York Sun,Reuben L. Goldberg,1948
Editorial-Cartooning,Chicago Daily News,Vaughn Shoemaker,1947
Editorial-Cartooning,Los Angeles Times,Bruce Alexander Russell,1946
Editorial-Cartooning,"United Feature Syndicate, Inc.",Sergeant Bill Mauldin,1945
Editorial-Cartooning,The Evening Star,Clifford K. Berryman,1944
Editorial-Cartooning,Des Moines Register & Tribune,Jay Norwood Darling,1943
Editorial-Cartooning,NEA service,Herbert Lawrence Block,1942
Editorial-Cartooning,Chicago Times,Jacob Burck,1941
Editorial-Cartooning,The Baltimore Sun,Edmund Duffy,1940
Editorial-Cartooning,Daily Oklahoman,Charles G. Werner,1939
Editorial-Cartooning,Chicago Daily News,Vaughn Shoemaker,1938
Editorial-Cartooning,New York Daily News,C.D. Batchelor,1937
Editorial-Cartooning,No Award,No Award,1936
Editorial-Cartooning,The Milwaukee Journal,Ross A. Lewis,1935
Editorial-Cartooning,The Baltimore Sun,Edmund Duffy,1934
Editorial-Cartooning,Washington Daily News,H. M. Talburt,1933
Editorial-Cartooning,Chicago Tribune,John T. McCutcheon,1932
Editorial-Cartooning,The Baltimore Sun,Edmund Duffy,1931
Editorial-Cartooning,Brooklyn Daily Eagle,Charles R. Macauley,1930
Editorial-Cartooning,New York World,Rollin Kirby,1929
Editorial-Cartooning,Brooklyn Daily Eagle,Nelson Harding,1928
Editorial-Cartooning,Brooklyn Daily Eagle,Nelson Harding,1927
Editorial-Cartooning,St. Louis Post-Dispatch,D. R. Fitzpatrick,1926
Editorial-Cartooning,New York World,Rollin Kirby,1925
Editorial-Cartooning,Des Moines Register & Tribune,Jay Norwood Darling,1924
Editorial-Cartooning,No Award,No Award,1923
Editorial-Cartooning,New York World,Rollin Kirby,1922
Editorial-Writing,The Boston Globe,Kathleen Kingsbury,2015
Editorial-Writing,The Oregonian,Editorial Staff,2014
Editorial-Writing,Tampa Bay Times,Daniel Ruth,2013
Editorial-Writing,Tampa Bay Times,Tim Nickens,2013
Editorial-Writing,No Award,No award,2012
Editorial-Writing,The Wall Street Journal,Joseph Rago,2011
Editorial-Writing,The Dallas Morning News,William McKenzie,2010
Editorial-Writing,The Dallas Morning News,Colleen McCain Nelson,2010
Editorial-Writing,The Dallas Morning News,Tod Robberson,2010
Editorial-Writing,The Post-Star,Mark Mahoney,2009
Editorial-Writing,No Award,No award,2008
Editorial-Writing,New York Daily News,Heidi Evans,2007
Editorial-Writing,New York Daily News,Beverly Weintraub,2007
Editorial-Writing,New York Daily News,Arthur Browne,2007
Editorial-Writing,The Oregonian,Doug Bates,2006
Editorial-Writing,The Oregonian,Rick Attig,2006
Editorial-Writing,The Sacramento Bee,Tom Philp,2005
Editorial-Writing,Los Angeles Times,William R. Stall,2004
Editorial-Writing,Chicago Tribune,Cornelia Grumman,2003
Editorial-Writing,Los Angeles Times,Bob Sipchen,2002
Editorial-Writing,Los Angeles Times,Alex Raksin,2002
Editorial-Writing,Rutland (VT) Herald,David Moats,2001
Editorial-Writing,The Orlando Sentinel,John C. Bersia,2000
Editorial-Writing,Daily News,Editorial Board,1999
Editorial-Writing,The Riverdale (NY) Press,Bernard L. Stein,1998
Editorial-Writing,The Daily Tribune,Michael Gartner,1997
Editorial-Writing,The New York Times,Robert B. Semple,1996
Editorial-Writing,The St. Petersburg (FL) Times,Jeffrey Good,1995
Editorial-Writing,Chicago Tribune,R. Bruce Dold,1994
Editorial-Writing,No Award,No Award,1993
Editorial-Writing,Lexington (KY) Herald-Leader,Maria Henson,1992
Editorial-Writing,The Birmingham (AL) News,Joey Kennedy,1991
Editorial-Writing,The Birmingham (AL) News,Harold Jackson,1991
Editorial-Writing,The Birmingham (AL) News,Ron Casey,1991
Editorial-Writing,The Pottstown (PA) Mercury,Thomas J. Hylton,1990
Editorial-Writing,Chicago Tribune,Lois Wille,1989
Editorial-Writing,Orlando Sentinel,Jane Healy,1988
Editorial-Writing,The Tribune,Jonathan Freedman,1987
Editorial-Writing,Chicago Tribune,Jack Fuller,1986
Editorial-Writing,The Philadelphia Daily News,Richard Aregood,1985
Editorial-Writing,Georgia Gazette,Albert Scardino,1984
Editorial-Writing,The Miami Herald,Miami Herald Editorial Board,1983
Editorial-Writing,The New York Times,Jack Rosenthal,1982
Editorial-Writing,No Award,No Award,1981
Editorial-Writing,The Wall Street Journal,Robert L. Bartley,1980
Editorial-Writing,The Washington Star,Edwin M. Yoder Jr.,1979
Editorial-Writing,The Washington Post,Meg Greenfield,1978
Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,Norman F. Cardoza,1977
Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,Foster Church,1977
Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,Warren L. Lerude,1977
Editorial-Writing,Los Angeles Times,Philip P. Kerby,1976
Editorial-Writing,Charleston (WV) Daily Mail,John Daniell Maurice,1975
Editorial-Writing,The Trentonian,F. Gilman Spencer,1974
Editorial-Writing,Berkshire Eagle,Roger B. Linscott,1973
Editorial-Writing,Bethlehem (PA) Globe-Times,John Strohmeyer,1972
Editorial-Writing,The Gainesville (FL) Sun,Horance G. Davis Jr.,1971
Editorial-Writing,The Washington Post,Philip L. Geyelin,1970
Editorial-Writing,Pine Bluff (AR) Commercial,Paul Greenberg,1969
Editorial-Writing,Knight Newspapers,John S. Knight,1968
Editorial-Writing,The Atlanta Constitution,Eugene Patterson,1967
Editorial-Writing,St. Louis Post-Dispatch,Robert Lasch,1966
Editorial-Writing,Gainesville (FL) Sun,John R. Harrison,1965
Editorial-Writing,Lexington (MS) Advertiser,Hazel Brannon Smith,1964
Editorial-Writing,Pascagoula (MS) Chronicle,Ira B. Harkey,1963
Editorial-Writing,Santa Barbara (CA) News-Press,Thomas M. Storke,1962
Editorial-Writing,San Juan (Puerto Rico) Star,William J. Dorvillier,1961
Editorial-Writing,Norfolk Virginian-Pilot,Lenoir Chambers,1960
Editorial-Writing,The Atlanta (GA) Constitution,Ralph McGill,1959
Editorial-Writing,Arkansas Gazette,Harry S. Ashmore,1958
Editorial-Writing,Tuscaloosa (AL) News,Buford Boone,1957
Editorial-Writing,Register and Tribune,Lauren K. Soth,1956
Editorial-Writing,Detroit Free Press,Royce Howes,1955
Editorial-Writing,Boston Herald,Don Murray,1954
Editorial-Writing,The Wall Street Journal,Vermont Connecticut Royster,1953
Editorial-Writing,St. Louis Globe Democrat,Louis LaCoss,1952
Editorial-Writing,New Orleans States,William Harry Fitzpatrick,1951
Editorial-Writing,Jackson (MI) Citizen Patriot,Carl M. Saunders,1950
Editorial-Writing,The Washington Post,Herbert Elliston,1949
Editorial-Writing,The Boston Herald,John H. Crider,1949
Editorial-Writing,Richmond Times-Dispatch,Virginius Dabney,1948
Editorial-Writing,The Wall Street Journal,William H. Grimes,1947
Editorial-Writing,The Delta Democrat-Times,Hodding Carter,1946
Editorial-Writing,The Providence Journal-Bulletin,George W. Potter,1945
Editorial-Writing,Kansas City (MO) Star,Henry J. Haskell,1944
Editorial-Writing,Register and Tribune,Forrest W. Seymour,1943
Editorial-Writing,New York Herald Tribune,Geoffrey Parsons,1942
Editorial-Writing,New York Daily News,Reuben Maury,1941
Editorial-Writing,St. Louis Post-Dispatch,Bart Howard,1940
Editorial-Writing,The Oregonian,Ronald G. Callvert,1939
Editorial-Writing,Register and Tribune,William Wesley Waymack,1938
Editorial-Writing,The Baltimore Sun,John W. Owens,1937
Editorial-Writing,Washington Post and Scripps-Howard Newspapers,George B. Parker,1936
Editorial-Writing,Washington Post and Scripps-Howard Newspapers,Felix Morley,1936
Editorial-Writing,No Award,No Award,1935
Editorial-Writing,Atlantic (IA) News-Telegraph,E. P. Chase,1934
Editorial-Writing,Kansas City (MO) Star,No author named,1933
Editorial-Writing,No Award,No Award,1932
Editorial-Writing,Fremont (NE) Tribune,Charles S. Ryckman,1931
Editorial-Writing,No Award,No Award,1930
Editorial-Writing,Norfolk Virginian-Pilot,Louis Isaac Jaffe,1929
Editorial-Writing,Montgomery (AL) Advertiser,Grover Cleveland Hall,1928
Editorial-Writing,Boston Herald,F. Lauriston Bullard,1927
Editorial-Writing,The New York Times,Edward M. Kingsbury,1926
Editorial-Writing,Charleston (SC) News and Courier,No author named,1925
Editorial-Writing,The Boston Herald,The Boston Herald,1924
Editorial-Writing,New York World,the late Frank I. Cobb,1924
